,rank,name,link,rate,description,adress,city,latitude,longitude
15,16,Comfort Hotel Strasbourg - Montagne Verte & Restaurant Louisiane,https://www.booking.com/hotel/fr/comforthotelstras.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=popularity&srpvid=b92852fa74f90127&srepoch=1643975286&from=searchresults#hotelTmpl,"8,4","Situé près de l'Ill, le Comfort Hotel Strasbourg - Montagne Verte Restaurant Louisiane se trouve à 2 km du quartier historique. Il dispose d'un restaurant avec terrasse d'été et d'un jardin. ","14, rue des Corroyeurs, 67200 Strasbourg, France",Strasbourg,48.5726894,7.7287234
16,17,Appart'City Strasbourg Centre,https://www.booking.com/hotel/fr/appart-city-strasbourg.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=17&sr_order=popularity&srpvid=b92852fa74f90127&srepoch=1643975286&from=searchresults#hotelTmpl,"7,8","L’Appart'City Strasbourg Centre bénéficie d’un emplacement idéal dans le centre de Strasbourg, à 10 minutes de marche de la gare. ","11 rue de Molsheim, 67000 Strasbourg, France",Strasbourg,48.5777174,7.7339917
17,18,Le Kléber Hôtel,https://www.booking.com/hotel/fr/le-kleber.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=18&sr_order=popularity&srpvid=b92852fa74f90127&srepoch=1643975286&from=searchresults#hotelTmpl,"7,9",L'établissement Le Kléber Hôtel vous accueille dans le centre-ville historique de Strasbourg. Il propose des chambres joliment décorées avec télévision à écran plat et connexion Internet gratuite. ,"29 Place Kleber, 67000 Strasbourg, France",Strasbourg,48.583310600000004,7.7459617902997895
18,19,EtC...Hôtel - Strasbourg Hyper Centre,https://www.booking.com/hotel/fr/des-francs-bourgeois.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&srpvid=b92852fa74f90127&srepoch=1643975286&from=searchresults#hotelTmpl,"7,9","L'EtC ... Hôtel est situé à Strasbourg, à proximité du quartier la Petite France. Il propose des chambres modernes et un cadre paisible. ","7 Rue De La Chaîne, 67000 Strasbourg, France",Strasbourg,48.5808069,7.7461763
19,20,Hôtel De L'Ill,https://www.booking.com/hotel/fr/de-l-ill.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=popularity&srpvid=b92852fa74f90127&srepoch=1643975286&from=searchresults#hotelTmpl,"8,8","L'Hôtel De L'ill vous accueille à Strasbourg,dans une rue à sens unique, à mi-chemin entre la cathédrale et l'université. Il vous propose une grande terrasse et des hébergements modernes. ","8 rue des Bateliers, 67000 Strasbourg, France",Strasbourg,48.5806537,7.7550983
20,21,Hotel Suisse,https://www.booking.com/hotel/fr/suisse-strasbourg.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=21&hapos=21&sr_order=popularity&srpvid=b92852fa74f90127&srepoch=1643975286&from=searchresults#hotelTmpl,"8,8","Situé dans un quartier central, l’Hotel Suisse vous accueille derrière la cathédrale de Strasbourg. Cet établissement à la gestion familiale propose une connexion Wi-Fi gratuite et une terrasse en...","2-4, Rue De La Rape, 67000 Strasbourg, France",Strasbourg,48.5816425,7.7528753
21,22,Hotel Roses,https://www.booking.com/hotel/fr/hotelauxtroisroses.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=22&hapos=22&sr_order=popularity&srpvid=b92852fa74f90127&srepoch=1643975286&from=searchresults#hotelTmpl,"8,1","L’Hotel Roses vous propose 34 chambres décorées sur le thème des roses. Les hébergements sont insonorisés, spacieux et lumineux. ","7 rue de Zurich, 67000 Strasbourg, France",Strasbourg,48.5811453,7.7563978
22,23,Le Grand Hotel,https://www.booking.com/hotel/fr/legrandhotel.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=23&hapos=23&sr_order=popularity&srpvid=b92852fa74f90127&srepoch=1643975286&from=searchresults#hotelTmpl,"8,3","Le Grand Hôtel est situé en face de la gare de Strasbourg, à 10 minutes à pied du centre-ville et de la place Kléber. Il dispose d'un bar, d'une terrasse et d'une connexion Wi-Fi gratuite. ","12, Place de la Gare, 67000 Strasbourg, France",Strasbourg,48.5846875,7.7365797
23,24,Appartements Le 32,https://www.booking.com/hotel/fr/le.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=24&sr_order=popularity&srpvid=b92852fa74f90127&srepoch=1643975286&from=searchresults#hotelTmpl,"8,8","L'établissement Le 32 propose un hébergement indépendant et idéalement situé dans le centre de Strasbourg, près de la cathédrale et de la célèbre place Gutenberg. ","32 Rue de l'Ail, 67000 Strasbourg, France",Strasbourg,48.5800364,7.7489416
24,25,Montempô Apparthôtel Strasbourg,https://www.booking.com/hotel/fr/montempo-apparthotel-strasbourg.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=b92852fa74f90127&srepoch=1643975286&from=searchresults#hotelTmpl,"6,9","Le Montempô Apparthôtel Strasbourg propose des hébergements indépendants dotés d'une connexion Wi-Fi gratuite à proximité directe du centre de Strasbourg, à 900 mètres du quartier historique de la...","3 Rue de Koenigshoffen, 67000 Strasbourg, France",Strasbourg,48.5579842,7.679859
