,rank,name,link,rate,description,adress,city,latitude,longitude
10,11,Hotel Le Lion D'Or et Restaurant La Table Du Lion,https://www.booking.com/hotel/fr/le-lion-d-or-bayeux.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=921f51b478f000ae&srepoch=1643974634&from=searchresults#hotelTmpl,"8,6","Occupant un ancien bureau de poste du XVIIIe siècle, l'Hotel Le Lion D'Or et Restaurant La Table Du Lion est désormais un établissement charmant situé dans l'un des plus anciens quartiers de Bayeux. ","71 Rue Saint Jean, 14400 Bayeux, France",Bayeux,49.276142,-0.6986149983902445
11,12,Château de Monceaux 5mn de Bayeux proche Mer,https://www.booking.com/hotel/fr/le-chateau-de-monceau.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=921f51b478f000ae&srepoch=1643974634&from=searchresults#hotelTmpl,"9,0","Situé à Bayeux, en Basse-Normandie, à moins de 2,5 km du musée de la Tapisserie de Bayeux, le Château de Monceaux 5mn de Bayeux proche Mer propose des hébergements avec une connexion Wi-Fi gratuite,...","1330 RUE DES PLATANE MONCEAUX EN BESSIN, 14400 Bayeux, France",Bayeux,49.27942189952384,-0.6948008286505051
12,13,Manoir Sainte Victoire,https://www.booking.com/hotel/fr/manoir-sainte-victoire.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=921f51b478f000ae&srepoch=1643974634&from=searchresults#hotelTmpl,"9,7","Doté d'un jardin et d'une connexion Wi-Fi gratuite, le Manoir Sainte Victoire propose des hébergements bien situés à Bayeux, à proximité du musée Baron-Gérard, de la cathédrale Notre-Dame de Bayeux et...","32 Rue de la Juridiction, 14400 Bayeux, France",Bayeux,49.2763871,-0.7053654
13,14,Hôtel De Brunville et La Table du Grand Luxembourg,https://www.booking.com/hotel/fr/hoteldebrunville.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=921f51b478f000ae&srepoch=1643974634&from=searchresults#hotelTmpl,"7,8","Situé à seulement 400 mètres de la cathédrale de Bayeux, l'Hôtel De Brunville et La Table du Grand Luxembourg propose un restaurant doté d'une cour avec jardin, au cœur de la ville médiévale. ","9 Rue Genas-Duhomme, 14400 Bayeux, France",Bayeux,49.2779663,-0.7035538
14,15,L'École Buissonnière,https://www.booking.com/hotel/fr/l-39-ecole-buissonniere-bayeux.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=921f51b478f000ae&srepoch=1643974634&from=searchresults#hotelTmpl,"9,4","Situé à Bayeux, à moins de 1,1 km du musée de la Tapisserie de Bayeux et du musée Baron Gérard, l'établissement L'École Buissonnière propose des hébergements avec une connexion Wi-Fi gratuite et un...","Saint-Vigor-le-Grand 13 Rue de Courseulles, 14400 Bayeux, France",Bayeux,49.27942189952384,-0.6948008286505051
15,16,Grand Hôtel du Luxembourg et La Table du Grand Luxembourg,https://www.booking.com/hotel/fr/hotelduluxembourg.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=popularity&srpvid=921f51b478f000ae&srepoch=1643974634&from=searchresults#hotelTmpl,"7,8","Idéalement situé dans le centre de Bayeux, près du musée de la Tapisserie de Bayeux, l'Grand Hôtel du Luxembourg et La Table du Grand Luxembourg occupe une demeure de caractère datant du XVIIe siècle...","25 Rue Des Bouchers, 14400 Bayeux, France",Bayeux,49.2780034,-0.7018882
16,17,Au Loup Historic Apartments,https://www.booking.com/hotel/fr/au-loup-historic-apartments-bayeux.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=17&sr_order=popularity&srpvid=921f51b478f000ae&srepoch=1643974634&from=searchresults#hotelTmpl,"8,6","Installé à Bayeux, à 550 mètres de la cathédrale Notre-Dame et à 10 minutes à pied du musée de la Tapisserie de Bayeux, l'établissement Au Loup Historic Apartments propose des hébergements avec...","45 Rue Saint-Loup, 14400 Bayeux, France",Bayeux,49.2711338,-0.7088533
17,18,Villa Des Ursulines,https://www.booking.com/hotel/fr/appartement-des-ursulines.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=18&sr_order=popularity&srpvid=921f51b478f000ae&srepoch=1643974634&from=searchresults#hotelTmpl,"8,7","Le Villa Des Ursulines est situé à Bayeux, à 100 mètres du musée d'art et d'histoire Baron-Gérard ainsi qu'à 200 mètres de la cathédrale Notre-Dame de Bayeux. ","3 Rue Des Ursulines, 14400 Bayeux, France",Bayeux,49.2773279,-0.7055182
18,19,La Cour Royale,https://www.booking.com/hotel/fr/la-cour-royale.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&srpvid=921f51b478f000ae&srepoch=1643974634&from=searchresults#hotelTmpl,"8,8","Située à Bayeux, à 300 mètres de la cathédrale Notre-Dame et à 700 mètres du musée d'art et d'histoire Baron Gérard, La Cour Royale propose des hébergements avec connexion Wi-Fi gratuite ainsi qu'un...","16/18 Rue Royale, 14400 Bayeux, France",Bayeux,49.2780786,-0.7081988
19,20,Le Petit Matin,https://www.booking.com/hotel/fr/le-petit-matin.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=popularity&srpvid=921f51b478f000ae&srepoch=1643974634&from=searchresults#hotelTmpl,"9,5",Cette maison d'hôtes occupe un bâtiment du XVIIIème siècle dans le quartier historique de Bayeux. ,"9 rue des terres - Place Charles de Gaulle, 14400 Bayeux, France",Bayeux,49.27942189952384,-0.6948008286505051
20,21,La Closerie Teranga,https://www.booking.com/hotel/fr/la-closerie-teranga.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=21&hapos=21&sr_order=popularity&srpvid=921f51b478f000ae&srepoch=1643974634&from=searchresults#hotelTmpl,"9,1","Dotée d'un jardin et d'un barbecue, La Closerie Teranga propose un hébergement à Bayeux avec une connexion Wi-Fi gratuite et une vue sur la ville. ","18 rue des Bouchers, 14400 Bayeux, France",Bayeux,49.2780034,-0.7018882
21,22,Villa Lara Hotel,https://www.booking.com/hotel/fr/villa-lara-ha-tel.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=22&hapos=22&sr_order=popularity&srpvid=921f51b478f000ae&srepoch=1643974634&from=searchresults#hotelTmpl,"9,7","La Villa Lara Hotel est un petit boutique hôtel de luxe situé dans le centre historique de Bayeux, en face de la cathédrale du XIe siècle et à seulement 2 minutes à pied de la Tapisserie de Bayeux. ","6, Place du Québec, 14400 Bayeux, France",Bayeux,49.375608650000004,-1.0613690890692675
22,23,Hotel Particulier de Sainte Croix,https://www.booking.com/hotel/fr/de-sainte-croix.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=23&hapos=23&sr_order=popularity&srpvid=921f51b478f000ae&srepoch=1643974634&from=searchresults#hotelTmpl,"9,6","Doté d'un jardin, l'Hotel Particulier de Sainte Croix propose un hébergement avec une connexion Wi-Fi gratuite et une vue sur la ville à Bayeux. ","12 rue du Marché Place Saint Patrice, 14400 Bayeux, France",Bayeux,49.27942189952384,-0.6948008286505051
23,24,Churchill Hotel Bayeux Centre,https://www.booking.com/hotel/fr/churchill-bayeux.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=24&sr_order=popularity&srpvid=921f51b478f000ae&srepoch=1643974634&from=searchresults#hotelTmpl,"8,2","Situé dans une rue piétonne en plein cœur du centre historique, le Churchill Hotel Bayeux Centre se trouve à seulement 400 mètres du Musée de la tapisserie de Bayeux. ","14 Rue St Jean, 14400 Bayeux, France",Bayeux,49.2764735,-0.7006310935390543
24,25,Novotel Bayeux,https://www.booking.com/hotel/fr/novotel.fr.html?aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=921f51b478f000ae&srepoch=1643974634&from=searchresults#hotelTmpl,"7,8","Le Novotel Bayeux est situé entre Caen et Cherbourg, en Normandie. Il est à 1 km seulement de la célèbre Tapisserie de Bayeux et du centre historique de la ville. ","117 Rue Saint Patrice, 14400 Bayeux, France",Bayeux,49.279097,-0.70852
